,OwnerUserId,ParentId,175
0,0,,
1,1,,
2,2,,
3,3,,
4,4,3397670.0,3.0
5,5,38545742.0,3.0
6,6,,
7,7,1726.0,0.0
8,8,1376092.0,0.0
9,9,4075.0,0.0
10,10,336661.0,0.0
11,11,352.0,0.0
12,12,22574079.0,0.0
13,13,,
14,14,,
15,15,,
16,16,,
17,17,39846.0,0.0
18,18,860.0,0.0
19,19,,
20,20,48053.0,0.0
21,21,,
22,22,9541.0,0.0
23,23,1801350.0,1.0
24,24,4784439.0,0.0
25,25,,
26,26,287.0,0.0
27,27,,
28,28,2449.0,0.0
29,29,,
30,30,49314.0,1.0
31,31,,
32,32,1136077.0,0.0
33,33,,
34,34,,
35,35,85712.0,0.0
36,36,,
37,37,58105.0,0.0
38,38,122461.0,0.0
39,39,,
40,40,,
41,41,31785485.0,1.0
42,42,596822.0,0.0
43,43,108308.0,0.0
44,44,37156.0,0.0
45,45,142.0,0.0
46,46,5594272.0,1.0
47,47,1701.0,0.0
48,48,,
49,49,17645354.0,1.0
50,50,48817.0,0.0
51,51,,
52,52,6776078.0,1.0
53,53,15090.0,0.0
54,54,,
55,55,8851.0,0.0
56,56,142.0,0.0
57,57,117444.0,0.0
58,58,150675.0,0.0
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,438340.0,1.0
67,67,20567.0,0.0
68,68,31158.0,0.0
69,69,136291.0,0.0
70,70,1242.0,0.0
71,71,,
72,72,3652938.0,1.0
73,73,9645945.0,2.0
74,74,,
75,75,65.0,0.0
76,76,3249.0,0.0
77,77,14.0,0.0
78,78,,
79,79,,
80,80,248.0,1.0
81,81,,
82,82,12745.0,0.0
83,83,,
84,84,6686.0,0.0
85,85,,
86,86,15511.0,0.0
87,87,90110.0,0.0
88,88,1227590.0,0.0
89,89,5433.0,0.0
90,90,308195.0,0.0
91,91,257.0,0.0
92,92,,
93,93,,
94,94,37701.0,0.0
95,95,,
96,96,1962.0,0.0
97,97,,
98,98,,
99,99,,
100,100,74944.0,0.0
101,101,10645.0,0.0
102,102,,
103,103,310926.0,0.0
104,104,4828084.0,0.0
105,105,,
106,106,,
107,107,3696981.0,0.0
108,108,1883.0,0.0
109,109,177595.0,0.0
110,110,795703.0,0.0
111,111,,
112,112,,
113,113,,
114,114,10279976.0,2.0
115,115,32524.0,0.0
116,116,530863.0,0.0
117,117,,
118,118,357751.0,0.0
119,119,466570.0,0.0
120,120,,
121,121,21824.0,0.0
122,122,1287141.0,1.0
123,123,258739.0,0.0
124,124,,
125,125,,
126,126,,
127,127,14136.0,1.0
128,128,26343.0,0.0
129,129,3243256.0,0.0
130,130,3548266.0,4.0
131,131,623053.0,0.0
132,132,26039113.0,6.0
133,133,13380.0,0.0
134,134,594.0,0.0
135,135,409547.0,0.0
136,136,10427748.0,2.0
137,137,,
138,138,1036492.0,0.0
139,139,671920.0,0.0
140,140,,
141,141,23177.0,0.0
142,142,2514096.0,0.0
143,143,52195.0,0.0
144,144,3167.0,0.0
145,145,1876132.0,0.0
146,146,270018.0,0.0
147,147,,
148,148,,
149,149,234288.0,0.0
150,150,12566343.0,1.0
151,151,493230.0,0.0
152,152,4550942.0,1.0
153,153,114532.0,0.0
154,154,3170030.0,0.0
155,155,364317.0,0.0
156,156,1245.0,0.0
157,157,2674940.0,1.0
158,158,,
159,159,,
160,160,1290789.0,0.0
161,161,662300.0,0.0
162,162,3815005.0,0.0
163,163,2146076.0,1.0
164,164,,
165,165,55232.0,0.0
166,166,1879814.0,0.0
167,167,6996.0,0.0
168,168,3804.0,0.0
169,169,2377423.0,2.0
170,170,1673.0,0.0
171,171,4571.0,0.0
172,172,565156.0,0.0
173,173,,
174,174,,
175,175,80171.0,0.0
176,176,691225.0,1.0
177,177,262631.0,0.0
178,178,78955.0,0.0
179,179,2906.0,0.0
180,180,,
181,181,,
182,182,7805.0,0.0
183,183,26969.0,0.0
184,184,39769.0,0.0
185,185,,
186,186,4521235.0,0.0
187,187,,
188,188,9544810.0,4.0
189,189,4913.0,0.0
190,190,,
191,191,,
192,192,25035506.0,4.0
193,193,500729.0,0.0
194,194,6369936.0,0.0
195,195,347222.0,0.0
196,196,,
197,197,180701.0,0.0
198,198,,
199,199,13800.0,0.0
200,200,,
201,201,,
202,202,1037697.0,0.0
203,203,1080980.0,0.0
204,204,,
205,205,,
206,206,,
207,207,,
208,208,,
209,209,,
210,210,344301.0,0.0
211,211,64901565.0,11.0
212,212,281802.0,0.0
213,213,2136966.0,0.0
214,214,3032949.0,2.0
215,215,10430.0,0.0
216,216,3877.0,1.0
217,217,624.0,0.0
218,218,323085.0,0.0
219,219,,
220,220,875785.0,0.0
221,221,307.0,0.0
222,222,,
223,223,,
224,224,,
225,225,46275.0,0.0
226,226,,
227,227,44970.0,0.0
228,228,66.0,0.0
229,229,19125.0,0.0
230,230,7693.0,0.0
231,231,622.0,0.0
232,232,5942.0,0.0
233,233,5942.0,0.0
234,234,442509.0,0.0
235,235,146805286.0,9.0
236,236,30820112.0,4.0
237,237,1082416.0,0.0
238,238,,
239,239,,
240,240,,
241,241,213292.0,0.0
242,242,140823.0,0.0
243,243,13678.0,0.0
244,244,,
245,245,,
246,246,,
247,247,,
248,248,,
249,249,2057635.0,0.0
250,250,,
251,251,147997.0,0.0
252,252,416335.0,0.0
253,253,42071.0,0.0
254,254,779832.0,0.0
255,255,,
256,256,,
257,257,395918.0,0.0
258,258,,
259,259,34444.0,0.0
260,260,,
261,261,3340.0,0.0
262,262,,
263,263,369.0,0.0
264,264,529.0,0.0
265,265,219576.0,0.0
266,266,4783628.0,0.0
267,267,1524786.0,1.0
268,268,,
269,269,,
270,270,210733.0,1.0
271,271,67210583.0,6.0
272,272,,
273,273,18372.0,0.0
274,274,,
275,275,1500202.0,0.0
276,276,,
277,277,262101.0,0.0
278,278,1148.0,0.0
279,279,,
280,280,,
281,281,,
282,282,576633.0,0.0
283,283,,
284,284,,
285,285,12666.0,0.0
286,286,,
287,287,,
288,288,,
289,289,1503079.0,0.0
290,290,,
291,291,27843.0,0.0
292,292,59781.0,0.0
293,293,,
294,294,,
295,295,27110.0,0.0
296,296,1445974.0,1.0
297,297,,
298,298,,
299,299,,
300,300,11018.0,0.0
301,301,,
302,302,1966.0,0.0
303,303,6219928.0,1.0
304,304,,
305,305,133026.0,0.0
306,306,1354.0,1.0
307,307,443953.0,0.0
308,308,130038.0,0.0
309,309,,
310,310,,
311,311,,
312,312,,
313,313,,
314,314,,
315,315,3089569.0,0.0
316,316,9068.0,1.0
317,317,598347.0,0.0
318,318,,
319,319,,
320,320,,
321,321,954.0,0.0
322,322,,
323,323,1100994.0,1.0
324,324,3550865.0,0.0
325,325,2514073.0,4.0
326,326,1697.0,1.0
327,327,59791.0,0.0
328,328,,
329,329,56514.0,0.0
330,330,,
331,331,,
332,332,77522.0,0.0
333,333,2117387.0,1.0
334,334,3125106.0,1.0
335,335,,
336,336,418074.0,0.0
337,337,8947.0,0.0
338,338,,
339,339,,
340,340,,
341,341,,
342,342,972366.0,0.0
343,343,,
344,344,,
345,345,,
346,346,,
347,347,29305.0,0.0
348,348,800.0,0.0
349,349,936795.0,1.0
350,350,,
351,351,845994.0,0.0
352,352,30329755.0,8.0
353,353,,
354,354,,
355,355,,
356,356,89293.0,0.0
357,357,,
358,358,,
359,359,2123871.0,0.0
360,360,421982.0,0.0
361,361,,
362,362,,
363,363,,
364,364,1078705.0,0.0
365,365,,
366,366,814.0,0.0
367,367,,
368,368,,
369,369,,
370,370,,
371,371,507131.0,0.0
372,372,,
373,373,,
374,374,,
375,375,501.0,0.0
376,376,797.0,0.0
377,377,,
378,378,1288063.0,0.0
379,379,,
380,380,,
381,381,,
382,382,,
383,383,804.0,0.0
384,384,,
385,385,,
386,386,,
387,387,,
388,388,,
389,389,83069.0,0.0
390,390,,
391,391,,
392,392,804.0,0.0
393,393,,
394,394,84936.0,0.0
395,395,,
396,396,,
397,397,,
398,398,,
399,399,,
400,400,,
401,401,,
402,402,411501.0,0.0
403,403,,
404,404,,
405,405,1743.0,0.0
406,406,118625.0,0.0
407,407,3463.0,0.0
408,408,,
409,409,2363.0,0.0
410,410,,
411,411,1694027.0,0.0
412,412,,
413,413,,
414,414,1190040.0,0.0
415,415,,
416,416,,
417,417,,
418,418,,
419,419,188817.0,0.0
420,420,18068.0,0.0
421,421,,
422,422,,
423,423,7305404.0,0.0
424,424,2140.0,0.0
425,425,,
426,426,,
427,427,,
428,428,25971.0,0.0
429,429,,
430,430,98902.0,0.0
